wikipedia,range
"[[C0 Controls and Basic Latin]]","0000–007F"
"[[C1 Controls and Latin-1 Supplement]]","0080–00FF"
"[[Latin Extended-A]]","0100–017F"
"[[Latin Extended-B]]","0180–024F"
"[[IPA Extensions Unicode block|IPA Extensions]]","0250–02AF"
"[[Spacing Modifier Letters]]","02B0–02FF"
"[[Combining Diacritical Marks]]","0300–036F"
"[[Greek alphabet|Greek]] and [[Coptic alphabet|Coptic]]","0370–03FF"
"[[Cyrillic script|Cyrillic]]","0400–04FF"
"[[Cyrillic Supplement]]","0500–052F"
"[[Armenian alphabet|Armenian]]","0530–058F"
"[[Hebrew alphabet|Hebrew]]","0590–05FF"
"[[Arabic alphabet|Arabic]]","0600–06FF"
"[[Syriac alphabet|Syriac]]","0700–074F"
"[[Arabic Supplement]]","0750–077F"
"[[Thaana alphabet|Thaana]]","0780–07BF"
"[[N'Ko alphabet|N'Ko]]","07C0–07FF"
"[[Samaritan script|Samaritan]]","0800–083F"
"[[Mandaic alphabet|Mandaic]]","0840–085F"
"[[Arabic alphabet|Arabic Extended-A]]","08A0–08FF"
"[[Devanagari]]","0900–097F"
"[[Bengali script|Bengali]]","0980–09FF"
"[[Gurmukhī|Gurmukhi]]","0A00–0A7F"
"[[Gujarāti script|Gujarati]]","0A80–0AFF"
"[[Oriya script|Oriya]]","0B00–0B7F"
"[[Tamil script|Tamil]]","0B80–0BFF"
"[[Telugu script|Telugu]]","0C00–0C7F"
"[[Kannada script|Kannada]]","0C80–0CFF"
"[[Malayalam script|Malayalam]]","0D00–0D7F"
"[[Sinhala script|Sinhala]]","0D80–0DFF"
"[[Thai script|Thai]]","0E00–0E7F"
"[[Lao script|Lao]]","0E80–0EFF"
"[[Tibetan script|Tibetan]]","0F00–0FFF"
"[[Burmese script|Myanmar]]","1000–109F"
"[[Georgian alphabet|Georgian]]","10A0–10FF"
"[[List of Hangul Jamo|Hangul Jamo]]","1100–11FF"
"[[Ge'ez script|Ethiopic]]","1200–137F"
"[[Ethiopic Supplement]]","1380–139F"
"[[Cherokee syllabary|Cherokee]]","13A0–13FF"
"[[Unified Canadian Aboriginal Syllabics]]","1400–167F"
"[[Ogham]]","1680–169F"
"[[Runic alphabet|Runic]]","16A0–16FF"
"[[Baybayin|Tagalog]]","1700–171F"
"[[Hanunó'o script|Hanunoo]]","1720–173F"
"[[Buhid script|Buhid]]","1740–175F"
"[[Tagbanwa script|Tagbanwa]]","1760–177F"
"[[Khmer script|Khmer]]","1780–17FF"
"[[Mongolian script|Mongolian]]","1800–18AF"
"[[Unified Canadian Aboriginal Syllabics|Unified Canadian Aboriginal Syllabics Extended]]","18B0–18FF"
"[[Limbu script|Limbu]]","1900–194F"
"[[Tai Le script|Tai Le]]","1950–197F"
"[[Tai Lü language|Tai Lue]]","1980–19DF"
"[[Khmer Symbols]]","19E0–19FF"
"[[Buginese script|Buginese]]","1A00–1A1F"
"[[Tai Tham script|Tai Tham]]","1A20–1AAF"
"[[Combining Diacritical Marks Extended]]","1AB0-1AFF"
"[[Balinese script|Balinese]]","1B00–1B7F"
"[[Sundanese script|Sundanese]]","1B80–1BBF"
"[[Batak script|Batak]]","1BC0–1BFF"
"[[Lepcha script|Lepcha]]","1C00–1C4F"
"[[Ol Chiki script|Ol Chiki]]","1C50–1C7F"
"[[Sundanese script|Sundanese Supplement]]","1CC0–1CCF"
"[[Vedic Sanskrit|Vedic]] Extensions","1CD0–1CFF"
"[[Phonetic Extensions]]","1D00–1D7F"
"[[Phonetic Extensions Supplement]]","1D80–1DBF"
"[[Combining Diacritical Marks Supplement]]","1DC0–1DFF"
"[[Latin extended additional]]","1E00–1EFF"
"[[Greek Extended]]","1F00–1FFF"
"[[General Punctuation Unicode block|General Punctuation]]","2000–206F"
"[[Superscripts and Subscripts]]","2070–209F"
"[[Currency Symbol]]s","20A0–20CF"
"[[Combining Diacritical Marks for Symbols]]","20D0–20FF"
"[[Letterlike Symbols]]","2100–214F"
"[[Number Forms]]","2150–218F"
"[[Arrow, symbol|Arrows]]","2190–21FF"
"[[Unicode Mathematical Operators|Mathematical Operators]]","2200–22FF"
"[[Miscellaneous TechnicalUnicode|Miscellaneous Technical]]","2300–23FF"
"[[Control Pictures]]","2400–243F"
"[[Optical Character Recognition Unicode block|Optical Character Recognition]]","2440–245F"
"[[Enclosed Alphanumerics]]","2460–24FF"
"[[Box drawing characters|Box Drawing]]","2500–257F"
"[[Block Elements]]","2580–259F"
"[[Geometric Shapes]]","25A0–25FF"
"[[Miscellaneous Symbols]]","2600–26FF"
"[[Unicode Dingbats|Dingbats]]","2700–27BF"
"[[Miscellaneous Mathematical Symbols-A]]","27C0–27EF"
"[[Supplemental Arrows-A]]","27F0–27FF"
"[[Braille]] Patterns","2800–28FF"
"[[Supplemental Arrows-B]]","2900–297F"
"[[Miscellaneous Mathematical Symbols-B]]","2980–29FF"
"[[Supplemental Mathematical Operators]]","2A00–2AFF"
"[[Miscellaneous Symbols and Arrows]]","2B00–2BFF"
"[[Glagolitic alphabet|Glagolitic]]","2C00–2C5F"
"[[Latin Extended-C]]","2C60–2C7F"
"[[Coptic Unicode block|Coptic]]","2C80–2CFF"
"[[Georgian Supplement]]","2D00–2D2F"
"[[Tifinagh]]","2D30–2D7F"
"[[Ethiopic Extended]]","2D80–2DDF"
"[[Cyrillic Extended-A]]","2DE0–2DFF"
"[[Supplemental Punctuation]]","2E00–2E7F"
"[[CJK]] [[Radical Chinese character|Radicals]] Supplement","2E80–2EFF"
"[[Kangxi Radicals]]","2F00–2FDF"
"[[Ideographic Description CharactersUnicode block|Ideographic Description Characters]]","2FF0–2FFF"
"[[CJK Symbols and Punctuation]]","3000–303F"
"[[Hiragana]]","3040–309F"
"[[Katakana]]","30A0–30FF"
"[[Bopomofo]]","3100–312F"
"[[Hangul]] Compatibility [[Jamo]]","3130–318F"
"[[Kanbun]]","3190–319F"
"[[Bopomofo]] Extended","31A0–31BF"
"CJK [[Stroke Chinese character|Strokes]]","31C0–31EF"
"[[Katakana]] Phonetic Extensions","31F0–31FF"
"[[Enclosed CJK Letters and Months]]","3200–32FF"
"[[CJK Compatibility]]","3300–33FF"
"[[CJK Unified Ideographs Extension A]]","3400–4DBF"
"[[Yijing]] Hexagram Symbols","4DC0–4DFF"
"[[CJK Unified Ideographs]]","4E00–9FFF"
"[[yi syllables unicode block|yi syllables]]","a000–a48f"
"[[Yi Radicals]]","A490–A4CF"
"[[Fraser alphabet|Lisu]]","A4D0–A4FF"
"[[Vai syllabary|Vai]]","A500–A63F"
"[[Cyrillic Extended-B]]","A640–A69F"
"[[Bamum script|Bamum]]","A6A0–A6FF"
"[[Modifier Tone Letters]]","A700–A71F"
"[[Latin Extended-D]]","A720–A7FF"
"[[Syloti Nagri]]","A800–A82F"
"[[Common Indic Number Forms]]","A830–A83F"
"[[Phagspa script|Phags-pa]]","A840–A87F"
"[[Saurashtra script|Saurashtra]]","A880–A8DF"
"[[Devanagari]] Extended","A8E0–A8FF"
"[[Kayah Li script|Kayah Li]]","A900–A92F"
"[[Rejang script|Rejang]]","A930–A95F"
"[[Hangul Jamo Extended-A]]","A960–A97F"
"[[Javanese script|Javanese]]","A980–A9DF"
"[[Myanmar Extended-B]]","A9E0-A9FF"
"[[Cham script|Cham]]","AA00–AA5F"
"[[Myanmar Extended-A]]","AA60–AA7F"
"[[Tai Viet script|Tai Viet]]","AA80–AADF"
"[[Meetei Mayek|Meetei Mayek Extensions]]","AAE0–AAFF"
"[[Ethiopic Extended-A]]","AB00–AB2F"
"[[Latin Extended-E]]","AB30-AB6F"
"[[Meetei Mayek]]","ABC0–ABFF"
"[[Hangul]] Syllables","AC00–D7AF"
"[[Hangul Jamo Extended-B]]","D7B0–D7FF"
"High Surrogates","D800–DB7F"
"High Private Use Surrogates","DB80–DBFF"
"Low Surrogates","DC00–DFFF"
"[[Private Use Area]]","E000–F8FF"
"[[CJK Compatibility Ideographs]]","F900–FAFF"
"[[Alphabetic Presentation Forms]]","FB00–FB4F"
"[[Arabic Presentation Forms-A]]","FB50–FDFF"
"[[Variation Selectors Unicode block|Variation Selectors]]","FE00–FE0F"
"[[Vertical Forms]]","FE10–FE1F"
"[[Combining Half Marks]]","FE20–FE2F"
"[[CJK Compatibility Forms]]","FE30–FE4F"
"[[Small Form Variants]]","FE50–FE6F"
"[[Arabic Presentation Forms-B]]","FE70–FEFF"
"[[Halfwidth and Fullwidth Forms]]","FF00–FFEF"
"[[Unicode Specials|Specials]]","FFF0–FFFF"
